Cities,Latitudinal Coordinates,Temperature,Humidity,WindSpeed,Sky Condition,Cloud Percentage
mataura,-46.19,46.0,84,8.01,overcast clouds,99
am timan,11.04,74.14,89,5.69,overcast clouds,100
atambua,-9.11,81.61,54,6.67,clear sky,0
punta arenas,-53.16,33.39,64,20.8,few clouds,20
cape town,-33.93,61.83,77,19.46,few clouds,20
puerto ayora,-0.74,64.99,91,12.59,scattered clouds,28
diego de almagro,-26.39,47.44,78,1.56,clear sky,0
kodiak,39.95,32.56,69,6.93,clear sky,1
narsaq,60.91,32.0,78,3.36,scattered clouds,29
georgetown,6.8,73.4,100,16.26,few clouds,20
kollam,8.88,82.4,83,6.93,broken clouds,75
meyungs,-42.88,53.83,47,11.41,scattered clouds,40
hobart,-54.81,32.0,92,29.97,light snow,75
ushuaia,8.96,64.4,59,8.05,few clouds,20
lebu,-33.21,77.86,18,9.4,scattered clouds,50
taolanaro,-26.65,51.8,93,5.82,clear sky,0
jamestown,-38.31,52.38,60,7.27,overcast clouds,100
luderitz,62.23,42.8,81,9.17,overcast clouds,96
barrow,-9.8,78.96,64,9.97,clear sky,0
klaksvik,27.92,69.01,62,4.0,clear sky,0
atuona,35.3,76.01,42,3.88,clear sky,0
guaymas,-0.6,81.55,78,15.42,moderate rain,100
abu samrah,-23.58,84.31,11,6.75,clear sky,0
hithadhoo,71.98,27.93,71,7.53,overcast clouds,100
bluff,-43.53,48.97,81,13.87,light rain,65
khatanga,65.85,36.45,63,12.94,overcast clouds,94
christchurch,-34.0,59.4,65,6.23,overcast clouds,96
umm jarr,68.05,32.22,96,3.52,light snow,100
pangody,15.17,66.38,32,16.73,broken clouds,52
ji-parana,38.52,60.8,63,12.75,scattered clouds,40
kruisfontein,-16.02,68.13,73,2.24,broken clouds,75
ostrovnoy,54.63,44.01,94,1.01,light rain,24
mys shmidta,-31.65,69.8,35,12.75,scattered clouds,40
sayyan,13.59,73.44,100,5.82,broken clouds,75
ribeira grande,64.17,33.8,86,6.93,light snow,100
samusu,-20.41,78.91,61,12.75,broken clouds,75
santa maria,15.34,80.56,69,6.93,scattered clouds,40
killybegs,22.08,75.43,94,5.82,light rain,20
northam,-33.64,67.33,33,15.43,clear sky,4
zaragoza,-34.53,59.0,72,3.36,overcast clouds,88
nuuk,69.44,30.2,92,16.11,overcast clouds,90
mahebourg,13.52,78.8,69,5.82,overcast clouds,95
vaini,-46.28,46.0,76,14.0,light rain,100
kapaa,-23.12,70.03,58,4.49,overcast clouds,100
busselton,70.47,32.0,66,8.05,overcast clouds,90
bredasdorp,60.79,32.97,73,9.17,clear sky,1
tuktoyaktuk,-5.2,71.6,94,4.7,scattered clouds,40
marcona,27.87,71.6,37,9.17,broken clouds,67
niamey,47.66,42.12,93,5.82,broken clouds,75
kaitangata,34.69,64.4,39,4.36,clear sky,0
rikitea,65.46,39.43,86,6.93,light intensity shower rain,100
clyde river,65.61,30.2,86,1.28,broken clouds,77
bethel,30.04,53.65,71,11.41,scattered clouds,40
touros,27.97,71.11,50,7.39,clear sky,0
amderma,-34.42,61.25,89,8.25,overcast clouds,88
adrar,13.6,84.61,49,12.35,clear sky,4
torbay,53.05,46.4,100,11.18,overcast clouds,90
tafresh,4.94,73.4,94,3.36,few clouds,20
bronnoysund,71.64,20.61,95,4.66,light snow,100
tasiilaq,26.8,73.22,62,6.11,clear sky,0
nome,-32.75,57.0,99,2.41,overcast clouds,100
guerrero negro,59.7,37.92,68,6.28,few clouds,17
kashi,64.42,26.42,81,3.37,clear sky,10
hermanus,45.6,61.23,82,13.87,light rain,69
umm kaddadah,-51.62,32.0,71,14.99,few clouds,20
petropavlovsk-kamchatskiy,71.97,21.43,75,8.04,overcast clouds,93
cayenne,48.37,43.38,87,3.36,clear sky,1
tiksi,68.36,30.2,92,17.22,light snow,90
samdrup jongkhar,56.42,50.41,93,6.93,overcast clouds,100
san felipe,-30.97,73.08,10,10.19,broken clouds,81
arman,-5.67,79.99,81,5.63,light rain,37
provideniya,36.52,71.01,54,1.01,broken clouds,56
souillac,51.48,40.44,38,15.56,clear sky,0
rio gallegos,-19.51,67.23,91,1.82,scattered clouds,30
saskylakh,-1.4,75.29,76,3.0,moderate rain,86
sooke,20.04,73.58,89,5.31,clear sky,0
inuvik,55.97,47.43,87,13.42,broken clouds,75
grenaa,51.36,67.28,34,12.22,clear sky,7
carnarvon,11.14,83.35,67,6.25,light rain,53
grand river south east,12.49,79.68,88,4.7,few clouds,20
tual,28.66,71.6,60,5.82,broken clouds,75
illoqqortoormiut,39.45,65.14,88,5.82,scattered clouds,40
linqu,42.65,48.38,76,3.36,scattered clouds,40
de-kastri,-4.91,63.39,88,5.03,light rain,98
baixo guandu,-21.21,69.8,60,6.93,clear sky,0
poso,45.36,50.29,70,9.17,overcast clouds,90
niquero,-37.83,69.8,43,12.75,scattered clouds,34
ivanteyevka,53.9,48.2,93,8.95,broken clouds,75
uglovskoye,72.79,28.15,81,12.39,overcast clouds,100
sulangan,59.36,29.95,85,9.52,light snow,99
oussouye,-33.02,64.4,77,13.87,few clouds,20
los llanos de aridane,-19.55,80.6,69,11.41,overcast clouds,90
saint george,7.99,85.84,64,4.4,light rain,96
albany,7.04,86.0,74,13.87,broken clouds,75
kondoa,55.55,46.6,87,8.58,broken clouds,83
avarua,62.45,40.64,73,21.92,broken clouds,75
saint-philippe,-15.19,67.89,89,12.69,overcast clouds,95
mount gambier,-25.41,49.84,91,0.97,scattered clouds,47
minsk,25.7,77.0,50,2.76,few clouds,20
upernavik,22.89,80.62,78,3.58,scattered clouds,40
okhotsk,17.54,82.85,70,6.45,scattered clouds,26
east london,-30.17,71.11,80,8.92,clear sky,0
isangel,10.57,89.6,62,3.36,scattered clouds,40
balabac,43.37,47.37,87,4.7,clear sky,1
kloulklubed,-33.59,68.0,76,5.99,broken clouds,74
cherusti,11.0,84.15,73,3.7,moderate rain,30
pemangkat,21.46,81.12,73,7.09,clear sky,0
yellowknife,60.72,32.0,82,3.36,broken clouds,75
namibe,-33.69,62.17,94,7.02,light rain,48
taltal,40.36,57.92,83,5.19,overcast clouds,95
luxor,38.23,60.8,44,2.24,scattered clouds,40
cabo san lucas,10.4,70.99,96,5.23,overcast clouds,98
san quintin,58.6,35.37,33,3.23,clear sky,0
svetlyy,63.84,41.0,80,3.36,overcast clouds,90
cidreira,29.06,66.2,88,5.82,few clouds,20
kavaratti,-21.55,74.44,76,10.48,overcast clouds,100
coos bay,-9.91,71.94,95,1.52,broken clouds,64
port alfred,50.02,46.04,81,4.37,overcast clouds,90
dingle,12.24,71.6,100,10.29,few clouds,20
cockburn town,-13.71,59.0,77,4.7,smoke,75
qaqortoq,-0.73,80.49,75,3.27,light rain,100
chuy,41.53,66.2,68,4.7,broken clouds,75
belmonte,-17.73,71.08,88,1.99,light rain,24
vaitupu,62.72,20.39,80,8.47,overcast clouds,100
ayan,-42.78,53.83,47,11.41,scattered clouds,40
